epoch,train_loss,accuracy,f1,precision,recall,auc
1,0.5286182873299189,0.6047619047619047,0.7430340557275542,0.6382978723404256,0.8888888888888888,0.4911111111111111
2,0.11552907100869952,0.6285714285714286,0.7577639751552795,0.6524064171122995,0.9037037037037037,0.5185185185185185
3,0.015452661975852657,0.5761904761904761,0.7100977198697068,0.6337209302325582,0.8074074074074075,0.48370370370370375
4,0.005175365753054062,0.6142857142857143,0.7444794952681388,0.6483516483516484,0.8740740740740741,0.5103703703703704
5,0.0024786314926497533,0.6476190476190476,0.7716049382716049,0.6613756613756614,0.9259259259259259,0.5362962962962963
6,0.0015090843287261777,0.6238095238095238,0.7523510971786834,0.6521739130434783,0.8888888888888888,0.5177777777777777
7,0.0009053335835173656,0.638095238095238,0.7625,0.6594594594594595,0.9037037037037037,0.5318518518518518
8,0.0007017036716597346,0.6142857142857143,0.7428571428571429,0.65,0.8666666666666667,0.5133333333333334
9,0.00044474357333609284,0.6,0.7307692307692307,0.6440677966101694,0.8444444444444444,0.5022222222222222
10,0.0003888705831970889,0.6190476190476191,0.7468354430379747,0.6519337016574586,0.8740740740740741,0.5170370370370371
11,0.00028387915619668575,0.6285714285714286,0.7547169811320755,0.6557377049180327,0.8888888888888888,0.5244444444444445
12,0.0002241498288436288,0.6190476190476191,0.7468354430379747,0.6519337016574586,0.8740740740740741,0.5170370370370371
13,0.00015344166361237768,0.6238095238095238,0.7492063492063492,0.6555555555555556,0.8740740740740741,0.5237037037037038
14,0.00012348126133857078,0.6095238095238096,0.7371794871794872,0.6497175141242938,0.8518518518518519,0.5125925925925926
15,8.133780360469381e-05,0.6238095238095238,0.7492063492063492,0.6555555555555556,0.8740740740740741,0.5237037037037038
16,6.628099024659197e-05,0.6238095238095238,0.7492063492063492,0.6555555555555556,0.8740740740740741,0.5237037037037038
17,5.9038007401940266e-05,0.6142857142857143,0.7395498392282959,0.6534090909090909,0.8518518518518519,0.5192592592592593
18,5.088709061217351e-05,0.6095238095238096,0.7337662337662337,0.653179190751445,0.837037037037037,0.5185185185185185
19,3.912897361014049e-05,0.6142857142857143,0.7378640776699029,0.6551724137931034,0.8444444444444444,0.5222222222222221
20,3.200936295466376e-05,0.6238095238095238,0.7476038338658147,0.6573033707865169,0.8666666666666667,0.5266666666666666
21,2.7673671279572033e-05,0.6047619047619047,0.7313915857605178,0.6494252873563219,0.837037037037037,0.5118518518518518
22,2.5375981452177436e-05,0.6095238095238096,0.7354838709677419,0.6514285714285715,0.8444444444444444,0.5155555555555555
23,2.26249188901386e-05,0.6095238095238096,0.7354838709677419,0.6514285714285715,0.8444444444444444,0.5155555555555555
24,1.804980923726727e-05,0.6095238095238096,0.7337662337662337,0.653179190751445,0.837037037037037,0.5185185185185185
25,1.5130500288403914e-05,0.6095238095238096,0.7337662337662337,0.653179190751445,0.837037037037037,0.5185185185185185
26,1.2787999373367116e-05,0.6142857142857143,0.7378640776699029,0.6551724137931034,0.8444444444444444,0.5222222222222221
27,1.2194038661525333e-05,0.6142857142857143,0.7395498392282959,0.6534090909090909,0.8518518518518519,0.5192592592592593
28,9.011502670463373e-06,0.6142857142857143,0.7395498392282959,0.6534090909090909,0.8518518518518519,0.5192592592592593
29,9.65432937744345e-06,0.6190476190476191,0.7435897435897436,0.655367231638418,0.8592592592592593,0.522962962962963
30,9.104156248706254e-06,0.6190476190476191,0.7435897435897436,0.655367231638418,0.8592592592592593,0.522962962962963
31,8.29055001215119e-06,0.6190476190476191,0.7419354838709677,0.6571428571428571,0.8518518518518519,0.5259259259259259
32,6.3780398308914704e-06,0.6142857142857143,0.7378640776699029,0.6551724137931034,0.8444444444444444,0.5222222222222221
33,5.5718537528136775e-06,0.6142857142857143,0.7378640776699029,0.6551724137931034,0.8444444444444444,0.5222222222222221
34,4.311090189781748e-06,0.6095238095238096,0.7354838709677419,0.6514285714285715,0.8444444444444444,0.5155555555555555
35,4.871156610635944e-06,0.6047619047619047,0.7296416938110749,0.6511627906976745,0.8296296296296296,0.5148148148148147
36,4.536454957177799e-06,0.6142857142857143,0.7378640776699029,0.6551724137931034,0.8444444444444444,0.5222222222222221
37,3.4549194550908114e-06,0.6095238095238096,0.7337662337662337,0.653179190751445,0.837037037037037,0.5185185185185185
38,3.6436450140678128e-06,0.6047619047619047,0.7296416938110749,0.6511627906976745,0.8296296296296296,0.5148148148148147
39,3.087442377189665e-06,0.6,0.7254901960784313,0.6491228070175439,0.8222222222222222,0.5111111111111111
40,3.001180054729054e-06,0.6095238095238096,0.7337662337662337,0.653179190751445,0.837037037037037,0.5185185185185185
41,2.8167174359750958e-06,0.6,0.7254901960784313,0.6491228070175439,0.8222222222222222,0.5111111111111111
42,2.7624596178488432e-06,0.6047619047619047,0.7296416938110749,0.6511627906976745,0.8296296296296296,0.5148148148148147
43,2.2915453707045235e-06,0.6047619047619047,0.7296416938110749,0.6511627906976745,0.8296296296296296,0.5148148148148147
44,2.0581440321097127e-06,0.6095238095238096,0.7337662337662337,0.653179190751445,0.837037037037037,0.5185185185185185
45,1.8449370151233992e-06,0.6,0.7254901960784313,0.6491228070175439,0.8222222222222222,0.5111111111111111
46,1.6613504968575475e-06,0.6142857142857143,0.7378640776699029,0.6551724137931034,0.8444444444444444,0.5222222222222221
47,1.6804547793084583e-06,0.6047619047619047,0.7296416938110749,0.6511627906976745,0.8296296296296296,0.5148148148148147
48,1.4781878777629123e-06,0.6,0.7254901960784313,0.6491228070175439,0.8222222222222222,0.5111111111111111
49,1.545577490988044e-06,0.6095238095238096,0.7337662337662337,0.653179190751445,0.837037037037037,0.5185185185185185
50,1.1893996218497204e-06,0.6,0.7254901960784313,0.6491228070175439,0.8222222222222222,0.5111111111111111
