epoch,train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,train_logits_mean,train_logits_std,val_logits_mean,val_logits_std
1,2.527074044761304,0.5104477611940299,0.5355525846702317,0.6830339294879936,0.5465116279069767,0.75,0.13953488372093023,0.23529411764705882,0.5727420227149811,1.0816936091883038,34.61301519926408,-0.11818058418954701,0.18567743356181018
2,0.6840122328230194,0.5388059701492537,0.6091354723707665,0.6782583957538009,0.5,0.5,0.36046511627906974,0.4189189189189189,0.5678745267712277,-0.1412329642950043,0.4783929903220004,0.06996660010055314,0.3583337299930248
3,0.6839004166978551,0.5537313432835821,0.6090196078431371,0.6828326558779524,0.5290697674418605,0.7777777777777778,0.08139534883720931,0.14736842105263157,0.5934288804759329,-0.09630239668967716,0.6193693784269672,-0.1061342133027718,0.7101533930490292
4,0.6821270335464367,0.6014925373134329,0.6440998217468805,0.6650276810883783,0.5872093023255814,0.5882352941176471,0.5813953488372093,0.5847953216374269,0.6274337479718767,0.021095828528502093,1.3070512563242227,0.040921976240243504,0.5227862539610689
5,0.638623690336887,0.6447761194029851,0.6924598930481283,0.7048333789476432,0.5581395348837209,0.5367647058823529,0.8488372093023255,0.6576576576576577,0.5893726338561385,-0.10256022430970264,1.226949478069972,0.4469620772680744,0.8306178995822989
6,0.5940412773665908,0.6746268656716418,0.7464081996434938,0.6809595678174911,0.5406976744186046,0.528,0.7674418604651163,0.6255924170616114,0.5777447268793942,-0.17476497412131015,1.8375723822076522,0.20408313734955047,0.6569980759176918
7,0.5588770985747386,0.7164179104477612,0.7989126559714794,0.7133911322735531,0.5755813953488372,0.5528455284552846,0.7906976744186046,0.6507177033492823,0.6046511627906977,-0.3901645179636387,3.25516453674939,0.34991846722009223,1.3400797735183576
8,0.5126659422348853,0.7388059701492538,0.8242424242424242,0.8380284987569312,0.5988372093023255,0.5913978494623656,0.6395348837209303,0.6145251396648045,0.6348025959978367,-0.2070204743503857,3.490004034153721,-0.44570864777102376,2.432853149215893
9,0.4254054217215271,0.7925373134328358,0.8833957219251336,0.8290766154323908,0.5872093023255814,0.5949367088607594,0.5465116279069767,0.5696969696969697,0.6062736614386155,-0.07871417093538999,4.4149299621132,-0.40082406784884284,2.1739322694642875
10,0.36636469769920876,0.8194029850746268,0.9118449197860963,0.9683221754225557,0.5697674418604651,0.5769230769230769,0.5232558139534884,0.5487804878048781,0.6008653326122227,-0.24138290382045974,5.520452745669603,-0.5053593274639097,2.9114310378866604
