run_id,chunk,weight_decay,entropy_reg_weight,dropout_rate,attn_dropout_rate,best_val_f1,best_epoch,final_val_auc,final_val_accuracy,final_val_precision,final_val_recall
0,1,0.0,0.0,0.1,0.0,0.604143947655398,2,0.5346597797534856,0.550251256281407,0.5504385964912281,0.6212871287128713
1,1,0.0,0.0,0.1,0.1,0.6516007532956686,2,0.5270351333602747,0.5515075376884422,0.5470941883767535,0.6757425742574258
2,1,0.0,0.0,0.1,0.2,0.6185792349726776,7,0.5471307334815114,0.5515075376884422,0.5523385300668151,0.6138613861386139
3,1,0.0,0.0,0.2,0.0,0.6337448559670782,9,0.5133107698524955,0.5163316582914573,0.5220417633410673,0.556930693069307
4,1,0.0,0.0,0.2,0.1,0.6733333333333333,6,0.5122436350777935,0.507537688442211,0.507537688442211,1.0
5,1,0.0,0.0,0.2,0.2,0.6699314397649363,5,0.5493597191351789,0.5552763819095478,0.55,0.6806930693069307
6,1,0.0,0.0,0.3,0.0,0.6733333333333333,1,0.5246861739745403,0.507537688442211,0.507537688442211,1.0
7,1,0.0,0.0,0.3,0.1,0.6677824267782427,2,0.5360489492826833,0.5389447236180904,0.5336976320582878,0.7252475247524752
8,1,0.0,0.0,0.3,0.2,0.6733333333333333,1,0.5118773994746414,0.507537688442211,0.507537688442211,1.0
