run_id,chunk,weight_decay,entropy_reg_weight,dropout_rate,attn_dropout_rate,best_val_f1,best_epoch,final_val_auc,final_val_accuracy,final_val_precision,final_val_recall
9,2,0.0,0.0005,0.1,0.0,0.6733333333333333,2,0.5498396140634472,0.5515075376884422,0.5474747474747474,0.6707920792079208
10,2,0.0,0.0005,0.1,0.1,0.6733500417710944,1,0.5499090725399071,0.5477386934673367,0.5434782608695652,0.6806930693069307
11,2,0.0,0.0005,0.1,0.2,0.6728499156829679,2,0.5253586583148111,0.5276381909547738,0.533816425120773,0.5470297029702971
12,2,0.0,0.0005,0.2,0.0,0.6696113074204947,1,0.5413719943422914,0.5477386934673367,0.5495495495495496,0.6039603960396039
13,2,0.0,0.0005,0.2,0.1,0.6733333333333333,3,0.5206417963224894,0.507537688442211,0.507537688442211,1.0
14,2,0.0,0.0005,0.2,0.2,0.6532180595581172,4,0.552100171751869,0.5527638190954773,0.5621761658031088,0.5371287128712872
15,2,0.0,0.0005,0.3,0.0,0.6733333333333333,1,0.5631188118811882,0.5288944723618091,0.522273425499232,0.8415841584158416
16,2,0.0,0.0005,0.3,0.1,0.634097706879362,1,0.5305364720145485,0.5276381909547738,0.5440251572327044,0.4282178217821782
17,2,0.0,0.0005,0.3,0.2,0.6321138211382114,4,0.5367435340472823,0.5477386934673367,0.5533980582524272,0.5643564356435643
72,9,0.001,0.001,0.1,0.0,0.6272727272727273,5,0.5689091230551627,0.571608040201005,0.5714285714285714,0.6237623762376238
73,9,0.001,0.001,0.1,0.1,0.6573556797020484,1,0.5476169428167307,0.5226130653266332,0.5363636363636364,0.4381188118811881
74,9,0.001,0.001,0.1,0.2,0.6733333333333333,1,0.5585661244695898,0.5653266331658291,0.5641592920353983,0.6311881188118812
75,9,0.001,0.001,0.2,0.0,0.6637856525496975,2,0.5357711153768439,0.5087939698492462,0.518005540166205,0.4628712871287129
76,9,0.001,0.001,0.2,0.1,0.6733333333333333,1,0.5404690341483128,0.5452261306532663,0.5441176470588235,0.6410891089108911
77,9,0.001,0.001,0.2,0.2,0.6654343807763401,1,0.5595006566983229,0.5515075376884422,0.5620052770448549,0.5272277227722773
78,9,0.001,0.001,0.3,0.0,0.6357487922705314,1,0.5185896140634472,0.5226130653266332,0.5257510729613734,0.6064356435643564
79,9,0.001,0.001,0.3,0.1,0.6361867704280155,1,0.5349249848454234,0.5188442211055276,0.5214723926380368,0.6311881188118812
80,9,0.001,0.001,0.3,0.2,0.6733333333333333,1,0.5630240957769247,0.5603015075376885,0.5675,0.5618811881188119
