epoch,train_loss,train_accuracy,train_auc,val_loss,val_accuracy,val_precision,val_recall,val_f1,val_auc,train_logits_mean,train_logits_std,val_logits_mean,val_logits_std
1,4.559854540032072,0.4788732394366197,0.4828972609655132,0.7011384074117096,0.4225352112676056,0.0,0.0,0.0,0.5196585365853659,3.877450764050556,71.0867519871525,-0.09006103189058706,3.6201821577692076e-05
2,0.842130992762241,0.4802146210596915,0.4843396171986557,0.7091956431597052,0.4225352112676056,0.0,0.0,0.0,0.5177235772357723,0.08207423536832764,5.103267616713494,-0.10861371383070946,0.16327784841751689
3,0.690318698243269,0.48088531187122735,0.5447635256955763,0.6989623574303909,0.4309859154929577,1.0,0.014634146341463415,0.028846153846153848,0.5060813008130081,-0.11049976421983589,0.8985135710992186,-0.07583028317337305,0.07848011554221207
4,0.6752673217527619,0.4835680751173709,0.5414163577620401,0.7345132475535214,0.4309859154929577,0.8,0.01951219512195122,0.0380952380952381,0.5255934959349593,-0.12182411065888557,1.166845067997389,-0.13686006032455136,0.6000918608331424
5,0.6657910782530937,0.4788732394366197,0.5694963292033867,0.7309817195778162,0.4309859154929577,1.0,0.014634146341463415,0.028846153846153848,0.534520325203252,-0.2546414134725379,1.0969390956968903,-0.15929751826423993,0.4538602046488551
6,0.6442412276691406,0.482897384305835,0.6087825071036045,0.7714984736392195,0.4309859154929577,1.0,0.014634146341463415,0.028846153846153848,0.5743739837398375,-0.31092972534934793,1.312733486473608,-0.2673457447885418,0.8386272686518625
7,0.6701069458431952,0.6016096579476862,0.6185761059266417,0.7991701743972134,0.5830985915492958,0.6266666666666667,0.6878048780487804,0.6558139534883721,0.547170731707317,-0.3134953413797312,2.0318354742834615,-0.3687124012759559,0.9247364575117661
8,0.6159593117506231,0.6472166331321261,0.644314952907069,0.8716798910792445,0.5746478873239437,0.5978260869565217,0.8048780487804879,0.6860706860706861,0.5375284552845527,-0.5027679307336309,1.6825245918013048,-0.38600435019798685,1.3196310258086155
9,0.6234574883687594,0.6626425217974514,0.6562161947757856,0.7808543627530756,0.6,0.6089965397923875,0.8585365853658536,0.7125506072874493,0.5129268292682927,-0.6501557609788751,2.1726323038812376,-0.23982610631156975,1.0102215632330525
10,0.5857859228977736,0.7055667337357479,0.7301657988489997,0.7681118856013661,0.5915492957746479,0.6013513513513513,0.8682926829268293,0.7105788423153693,0.5647154471544714,-0.917840416005614,2.691541437839316,-0.143097855413044,0.982246486362001
11,0.5700126619434782,0.7330650570087189,0.7500955561004456,0.8392735022999032,0.5943661971830986,0.6142322097378277,0.8,0.6949152542372882,0.5475121951219513,-0.9380138038397136,3.1889583794254497,-0.04682089448185034,1.4243817772923069
12,0.5067953137938879,0.761234071093226,0.8015588264989688,1.0338067145375405,0.6169014084507042,0.6468085106382979,0.7414634146341463,0.6909090909090909,0.5859837398373984,-0.8137096216421796,3.49297085432868,-0.5663554848394763,2.6113063361606232
13,0.45004863109720855,0.7853789403085177,0.8586815421672844,1.0006621600816519,0.5943661971830986,0.6320346320346321,0.7121951219512195,0.6697247706422018,0.5908292682926829,-0.8248613457839454,5.089698518843366,0.13009006517191588,2.4127687722315483
14,0.3957862013089798,0.8195841716968477,0.89073069766771,0.9842318389890429,0.6169014084507042,0.648068669527897,0.7365853658536585,0.6894977168949772,0.6151544715447155,-0.3511412479907854,5.584228369103031,-0.08123979238452206,2.5988806966025257
15,0.38721429748608494,0.8370221327967807,0.9199077613188906,1.6691988584026993,0.571830985915493,0.6480446927374302,0.5658536585365853,0.6041666666666666,0.5818861788617885,-0.32051464709272764,6.803214325726996,-1.547280907032775,4.99631348974709
16,0.33134283652439395,0.85177733065057,0.9323408720485786,1.7953151630487931,0.5802816901408451,0.6060606060606061,0.7804878048780488,0.6823027718550106,0.5231869918699187,-0.38769160898865807,6.40400287818658,1.7298136073256463,5.706233024679461
